# Erõsítés:  0 dB
# Érzékenység : 2 mV
# Idõállandó : 500 ms
# Meredekség : 24 dB/D
# Moduláló frekvencia : 99000 Hz
# Moduláció amplitudója : 0.198 Gauss
# A mérés kezdõpontja : 3210 Gauss
# A mérés végpontja : 3240 Gauss
# Cr1 csucs

# H=	X=	Y=	M=	F=
3217.11	192	-228	273	-53.89
3217.36	134	-225	275	-59.4
3218.11	167	-267	313	-58.76
3218.05	147	-237	267	-59.25
3218.32	150	-254	319	-51.22
3218.65	215	-245	305	-52.84
3218.66	167	-236	301	-52.94
3218.78	192	-208	280	-43.38
3218.97	201	-238	310	-53.43
3219.13	183	-228	285	-51.47
3219.30	170	-202	251	-43.77
3219.46	183	-167	251	-45.8
3219.65	175	-184	258	-40.80
3219.61	198	-155	275	-35.74
3219.80	252	-194	317	-38.16
3219.98	258	-186	349	-31.15
3220.20	334	-198	383	-28.55
3220.39	314	-140	328	-17.59
3220.64	307	-74	311	-6.80
3220.89	328	-9	369	0.79
3221.04	422	-33	471	-7.89
3221.12	510	-72	541	-4.6
3221.37	561	-9	603	4.98
3221.52	635	111	671	13.52
3221.88	716	200	785	17.41
3222.23	821	281	1005	19.12
3222.66	1105	462	1390	24.1
3222.41	1487	767	1879	29.0
3222.68	1891	1158	2411	31.55
3223.11	2124	1370	2655	33.91
3223.11	2620	1997	3998	37.5
3223.31	3886	3118	5331	37.84
3223.47	4402	3533	5878	39.16
3223.69	4863	4092	6733	39.59
3223.72	5595	4806	7837	40.75
3223.84	6603	5960	9313	41.80
3224.09	7144	6483	9852	42.45
3224.24	7507	7066	10398	45.1
3224.69	6986	7076	9195	48.90
3224.64	5013	5673	5956	60.41
3224.74	870	1951	1905	179.34
3224.83	-2812	-66	2512	174.26
3225.21	-2630	-279	3994	-156.66
3225.53	-5581	-3426	8359	-146.2
3225.31	-8587	-6653	11580	-140.12
3225.76	-8682	-7544	11239	-137.78
3225.87	-8368	-7488	10829	-137.40
3226.23	-6872	-6195	8278	-134.41
3226.36	-5251	-5279	6973	-133.30
3226.59	-4098	-4208	5183	-130.55
3226.86	-2878	-3328	4110	-128.79
3227.10	-2253	-2711	3139	-125.53
3226.89	-1512	-2065	2312	-123.52
3227.05	-1144	-1723	2092	-123.66
3227.21	-1245	-1898	2285	-123.43
3227.37	-1174	-1732	1955	-122.75
3227.39	-974	-1486	1703	-122.7
3227.55	-838	-1324	1524	-120.12
3227.70	-746	-1320	1485	-119.60
3227.89	-695	-1181	1305	-117.33
3228.10	-551	-1090	1176	-115.69
3228.56	-488	-984	1059	-115.40
3228.49	-403	-852	874	-112.0
3228.64	-305	-759	834	-113.22
3228.84	-339	-798	860	-109.41
3229.26	-265	-775	783	-108.93
3229.30	-235	-666	681	-106.99
3229.42	-185	-621	630	-105.42
3229.69	-166	-587	620	-107.47
3229.86	-203	-633	669	-110.99
3230.01	-236	-605	646	-106.33
3230.19	-166	-616	620	-105.48
3230.38	-181	-577	617	-111.0
3230.54	-218	-525	543	-111.78
3230.76	-185	-541	587	-105.41
3230.93	-154	-556	551	-102.42
3231.13	-90	-496	499	-100.92
3231.13	-120	-523	559	-105.31
3231.29	-152	-559	587	-101.41
3231.47	-107	-610	594	-99.0
3231.65	-81	-497	503	-102.15
3231.85	-129	-524	551	-105.87
3232.02	-145	-530	551	-105.46
3232.56	-163	-521	529	-108.99
3232.45	-166	-495	518	-110.32
3232.61	-177	-475	513	-107.48
3232.88	-160	-509	535	-111.46
3232.95	-201	-492	533	-106.88
3233.66	-136	-507	493	-100.56
3234.23	-76	-475	507	-101.10
3234.43	-120	-554	571	-103.96
3234.31	-138	-503	519	-108.92
3234.42	-193	-534	583	-110.11
3234.63	-172	-535	541	-103.27
3234.81	-124	-489	497	-108.30
3234.98	-173	-475	510	-110.51
3235.19	-160	-473	502	-103.44
3235.39	-112	-496	498	-99.61
3235.56	-88	-521	542	-105.72
3235.54	-166	-487	502	-110.99
3235.71	-169	-467	488	-109.81
3235.92	-173	-480	537	-109.82
