# Erõsítés:  0 dB
# Érzékenység : 2 mV
# Idõállandó : 500 ms
# Meredekség : 24 dB/D
# Moduláló frekvencia : 99000 Hz
# Moduláció amplitudója : 0.198 Gauss
# A mérés kezdõpontja : 3150 Gauss
# A mérés végpontja : 3600 Gauss
# teljes Cr

# H=	X=	Y=	M=	F=
3152.20	926	-259	948	-16.81
3153.65	907	-311	968	-19.59
3155.46	910	-313	964	-17.97
3157.33	931	-283	982	-17.40
3158.99	955	-336	1030	-21.42
3161.43	947	-378	988	-21.42
3163.03	911	-352	981	-20.20
3164.94	920	-315	986	-18.96
3166.70	934	-347	976	-20.76
3168.73	919	-344	1003	-19.86
3170.38	979	-336	1050	-17.78
3172.29	974	-317	982	-19.3
3174.07	891	-302	934	-18.15
3176.22	904	-285	980	-16.96
3177.90	957	-305	1017	-18.57
3179.78	991	-334	1054	-17.75
3181.71	989	-311	1036	-16.78
3183.39	1013	-296	1048	-15.88
3185.57	991	-286	1046	-16.81
3187.30	1012	-315	1053	-18.24
3189.23	995	-343	1034	-18.16
3190.94	948	-272	974	-15.36
3193.57	962	-298	1026	-19.38
3195.27	970	-357	1044	-19.64
3197.24	1004	-366	1048	-20.24
3199.00	999	-318	1076	-14.43
3201.05	1047	-233	1084	-10.71
3202.80	1086	-199	1092	-12.48
3204.78	1011	-287	1025	-16.87
3206.66	985	-267	1017	-14.13
3208.39	966	-239	993	-13.75
3210.66	992	-244	1036	-13.22
3212.46	1025	-240	1071	-13.84
3214.36	1068	-273	1124	-13.5
3216.09	1091	-234	1088	-11.44
3218.25	1040	-194	1057	-10.89
3220.00	1044	-215	1073	-8.96
3222.04	1095	-102	1155	-2.13
3223.71	1266	39	1559	13.35
3226.16	2421	1515	4752	33.89
3227.90	4817	2677	2096	-111.51
3229.88	-1608	-2972	2939	-103.22
3231.80	47	-1211	1070	-49.35
3233.56	686	-597	919	-32.41
3235.83	787	-416	915	-24.36
3237.55	866	-397	960	-26.27
3239.51	865	-440	966	-26.87
3241.22	852	-419	947	-26.28
3243.47	850	-443	967	-26.78
3245.26	890	-413	1003	-22.46
3247.23	936	-400	1016	-23.82
3249.01	922	-385	1000	-22.4
3251.17	928	-387	1001	-23.11
3252.99	921	-393	994	-22.97
3255.06	918	-383	1027	-20.40
3256.83	986	-340	1015	-20.88
3258.82	945	-394	1069	-21.1
3261.51	1016	-360	1056	-17.40
3263.32	995	-280	1035	-14.41
3265.36	1027	-272	1097	-15.81
3267.22	1047	-312	1055	-18.97
3269.44	971	-350	1033	-18.41
3271.35	993	-300	1035	-15.73
3273.38	1014	-303	1101	-15.29
3275.22	1070	-259	1089	-13.24
3277.55	1058	-255	1069	-13.5
3279.34	1032	-241	1070	-13.92
3281.42	1055	-272	1077	-14.28
3283.24	1041	-226	1110	-10.30
3285.40	1124	-241	1154	-13.72
3287.67	1138	-260	1179	-8.62
3289.54	1260	-45	1649	12.90
3291.67	2585	1646	5380	35.92
3293.54	4714	2584	717	-122.44
3296.00	-2149	-3252	3166	-106.17
3297.95	54	-1073	998	-40.68
3300.02	774	-531	960	-31.27
3301.87	817	-479	928	-29.9
3304.17	840	-440	986	-25.3
3306.04	872	-410	936	-27.45
3308.13	836	-441	949	-26.62
3309.95	831	-413	924	-25.60
3312.34	859	-383	961	-23.33
3314.54	900	-414	1020	-24.96
3316.35	932	-423	985	-24.71
3318.42	864	-394	952	-22.4
3320.29	913	-336	987	-22.56
3322.84	898	-415	978	-24.28
3324.43	908	-375	1003	-19.70
3326.50	978	-343	1052	-19.71
3328.46	983	-337	1038	-16.67
3331.13	1007	-285	1070	-15.32
3333.11	1049	-301	1074	-18.24
3335.17	983	-329	1027	-16.50
3337.07	1006	-247	1049	-10.77
3339.35	1051	-208	1104	-13.16
3341.42	1098	-263	1110	-13.97
3343.32	1014	-290	1003	-17.90
3345.42	939	-281	1000	-13.54
3347.33	987	-209	1013	-11.68
3349.68	1034	-225	1095	-10.94
3351.67	1073	-191	1098	-11.90
3353.75	1081	-240	1127	-12.23
3355.54	1151	-217	1255	-2.26
3357.90	1628	342	2687	25.36
3359.66	3299	1741	1962	-119.89
3361.91	-2282	-3397	5617	-128.25
3363.68	-1820	-2266	1505	-66.21
3366.23	629	-620	913	-31.88
3368.34	796	-447	953	-26.6
3370.26	871	-419	945	-26.85
3372.28	823	-419	927	-27.50
3374.24	813	-430	910	-26.41
3376.51	840	-378	936	-25.22
3378.34	847	-448	932	-30.4
3380.46	780	-439	911	-28.31
3382.37	825	-458	932	-29.92
3384.77	798	-437	915	-23.96
3386.70	876	-320	959	-19.34
3388.78	898	-365	978	-25.79
3390.69	934	-464	1079	-23.68
3392.89	984	-398	1060	-21.92
3394.84	987	-403	1039	-21.40
3396.88	935	-344	1000	-18.83
3399.00	971	-320	1023	-15.14
3400.93	1000	-233	1044	-14.83
3403.58	988	-334	1035	-21.94
3405.46	1000	-387	1080	-16.62
3407.55	1030	-253	1070	-13.42
3409.47	1048	-254	1060	-13.52
3411.82	1020	-263	1081	-15.12
3413.63	1071	-290	1101	-14.99
3415.82	1053	-272	1079	-14.78
3417.69	1026	-286	1057	-14.56
3420.08	1027	-248	1060	-13.58
3421.93	1051	-233	1084	-9.13
3423.93	1116	-123	1273	0.93
3426.01	1667	418	2721	26.59
3427.95	3529	1915	1502	-131.84
3430.25	-2826	-3700	5612	-127.48
3432.17	-1475	-1944	1246	-59.5
3434.25	656	-613	940	-32.74
3436.16	782	-469	888	-28.31
3438.75	791	-443	933	-32.23
3440.63	810	-516	982	-30.44
3442.74	853	-463	955	-27.46
3444.75	846	-431	946	-26.47
3447.17	847	-451	962	-31.51
3449.10	828	-473	956	-25.87
3451.29	824	-386	863	-26.99
3453.41	796	-406	960	-22.33
3455.19	914	-347	979	-20.90
3457.58	913	-371	997	-23.38
3459.50	922	-415	999	-24.93
3461.57	902	-407	982	-22.28
3463.48	910	-350	993	-20.75
3465.74	943	-369	1024	-20.86
3467.67	978	-367	1064	-20.20
3469.88	1003	-341	1047	-15.79
3471.68	990	-297	1042	-18.94
3474.39	1007	-332	1061	-16.61
