0,5;192;184;170;180;195;166;195;158;201;195;185;179;203;183;190;178;173;169;159;173;156
1,0;1425;1341;1356;1409;1342;1319;1369;1297;1433;1357;1301;1422;1299;1311;1296;1325;1331;1326;1329;1351;1337
1,5;4311;4233;4095;4232;4133;4254;4148;4275;4335;4148;4077;4246;4244;4146;4174;4236;4230;4241;4149;4143;4250
2,0;6514;6273;6438;6533;6510;6480;6568;6365;6417;6423;6410;6560;6542;6427;6386;6511;6417;6333;6474;6471;6499
2,5;7780;7671;7752;7656;7645;7788;7647;7689;7694;7694;7748;7721;7578;7499;7742;7593;7704;7769;7749;7682;7700
3,0;8268;8353;8242;8341;8384;8338;8263;8363;8368;8345;8372;8339;8237;8277;8373;8285;8219;8437;8343;8492;8398
3,5;8465;8322;8506;8561;8458;8636;8541;8558;8619;8471;8504;8425;8419;8447;8597;8495;8560;8649;8426;8308;8584
4,0;8450;8451;8640;8370;8289;8314;8518;8432;8377;8419;8414;8489;8636;8521;8561;8436;8562;8510;8505;8505;8554
4,5;8135;8054;8086;8021;7971;8058;8254;8212;8298;8204;8033;8243;8100;8075;8082;8054;8081;8054;7968;7962;8157
5,0;7784;7629;7737;7785;7490;7654;7517;7709;7700;7761;7696;7758;7702;7773;7624;7659;7797;7666;7595;7847;7717
5,5;0;7332;7149;7207;7079;7291;7149;7246;7154;7176;7258;7201;7252;7239;7100;7039;7176;7241;7290;7168;7167
6,0;0;6646;6715;6695;6694;6837;6653;6613;6681;6645;6810;6853;6845;6863;6830;6805;6700;6618;6725;6661;6775
6,5;0;6164;6205;6232;6079;6242;6117;6041;6162;6152;6152;6147;6242;6218;6190;6180;6329;6103;6195;6199;6162
7,0;0;5637;5635;5573;5727;5657;5673;5581;5620;5713;5688;5785;5587;5611;5616;5711;5674;5641;5637;5626;5578
7,5;0;5238;5212;5117;5185;5220;5173;5301;5186;5114;5154;5189;5259;5052;5193;5158;5101;5210;5063;5056;5169
8,0;0;4679;4695;4713;4627;4788;4672;4754;4787;4616;4780;4635;4676;4689;4608;4702;4719;4635;4700;4614;4649
8,5;0;4206;4176;4345;4150;4211;4179;4241;4227;4263;4213;4216;4185;4271;4169;4255;4337;4124;4225;4251;4222
9,0;0;3826;3821;3780;3805;3694;3878;3869;3853;3753;3755;3680;3768;3757;3689;3799;3798;3771;3775;3877;3686
9,5;0;3300;3445;3408;3392;3350;3296;3322;3329;3343;3245;3309;3400;3365;3367;3341;3267;3350;3320;3343;3317
10,0;0;2956;3119;2999;2898;3014;3013;3021;2898;3025;3052;3157;2997;3014;3025;2949;2901;3035;3009;2874;2991
10,5;0;2630;2640;2622;2587;2727;2524;2671;2657;2572;2566;2660;2643;2622;2712;2649;2623;2583;2629;2698;2694
11,0;0;2426;2320;2261;2233;2374;2265;2205;2342;2244;2284;2259;2303;2299;2328;2352;2249;2354;2430;2314;2296
11,5;0;2016;1996;2017;2013;1982;2086;1950;1987;1980;1992;2030;2007;2023;1964;2023;1996;1993;2069;2045;1982
12,0;0;1795;1793;1746;1763;1787;1769;1679;1802;1753;1762;1786;1772;1776;1793;1734;1758;1765;1730;1763;1706
12,5;0;1463;1582;1442;1572;1540;1558;1533;1562;1511;1534;1560;1500;1502;1585;1530;1543;1512;1491;1492;1553
13,0;0;1340;1261;1320;1364;1364;1262;1318;1312;1334;1284;1350;1205;1363;1338;1247;1360;1306;1305;1349;1343
13,5;0;1155;1104;1150;1098;1096;1093;1149;1125;1126;1102;1108;1107;1096;1146;1106;1147;1124;1055;1132;1076
14,0;0;947;926;946;953;962;1036;925;952;969;912;957;907;938;984;956;972;910;924;914;971
14,5;0;778;779;841;815;790;817;837;813;744;808;847;814;748;805;786;821;789;815;782;803
15,0;0;695;703;657;683;672;667;697;666;682;657;649;694;673;652;602;658;684;689;687;641
15,5;0;582;579;543;573;575;567;563;620;589;566;576;573;558;570;561;560;565;576;602;520
16,0;0;416;457;468;484;476;462;465;498;461;459;484;457;479;491;462;490;462;476;467;513
16,5;0;387;398;377;412;442;430;362;373;371;392;431;408;391;384;375;453;400;401;384;406
17,0;0;339;310;292;318;279;317;321;311;337;327;318;321;304;318;319;349;302;339;329;308
17,5;0;293;255;293;286;254;261;280;249;276;289;279;303;248;249;277;229;266;238;251;254
18,0;0;212;263;203;217;193;216;230;223;237;194;212;194;226;217;214;198;227;218;202;196
18,5;0;191;184;166;160;178;182;178;197;157;167;187;187;178;172;172;155;192;169;172;179
